"Item Name","Item Description","Department Name","Custom Field 3","Vendor Name","Custom Field 1","Regular Price","MSRP","Attribute","Custom Field 2","Size","Qty 1","On Order Qty","Custom Field 4","Custom Field 5","END","Silver & Gold "
"PV10167W-RH","PV10167W-RH","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10164W-RH","PV10164W-RH","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10164-W","PV10164-W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10159W-CL","PV10159W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10155W-CL","PV10155W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10149W-CL","PV10149W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10144W-CL","PV10144W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10143W-CL","PV10143W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10142W-CL","PV10142W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10140W-CL","PV10140W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10137W-CL","PV10137W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10135W","PV10135W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10133W","PV10133W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10125W-CL","PV10125W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10124W-CL","PV10124W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10121W-CL","PV10121W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10118W-CL","PV10118W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10116W-CL","PV10116W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10115W-CL","PV10115W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10111W-CL","PV10111W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10110W-CL","PV10110W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10109W-CL","PV10109W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10101W-CL","PV10101W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10064-CL","PV10064-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10047W-CL","PV10047W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10045W-CL","PV10045W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10044W-CL","PV10044W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10020W-CL","PV10020W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10002W-CL","PV10002W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10002W-CL","PV10002W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30036-CL-BLK","PV30036-CL-BLK","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30075W-CL","PV30075W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30103W","PV30103W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30155W","PV30155W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30188W","PV30188W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30208W-CL","PV30208W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30365W","PV30365W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30378W-CL","PV30378W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30385W-2T","PV30385W-2T","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30387W-CL","PV30387W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30403W-CL","PV30403W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV30513W-CL","PV30513W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
"PV35656W-CL ","PV35656W-CL ","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Necklaces",,
